"Add %1 more for free shipping!","Add %1 more for free shipping!"
"Congratulations! You've unlocked free shipping!","Congratulations! You've unlocked free shipping!"
"Add items to your cart, free shipping on orders over %1!","Add items to your cart, free shipping on orders over %1!"
"Free Shipping Bar","Free Shipping Bar"
"General Settings","General Settings"
"Enable","Enable"
"Enable or disable the free shipping progress bar.","Enable or disable the free shipping progress bar."
"Free Shipping Threshold","Free Shipping Threshold"
"Minimum cart subtotal for free shipping.","Minimum cart subtotal for free shipping."
"Include Tax in Calculation","Include Tax in Calculation"
"Include tax when calculating cart subtotal.","Include tax when calculating cart subtotal."
"Display Positions","Display Positions"
"Show in Header","Show in Header"
"Show in Mini Cart","Show in Mini Cart"
"Show on Cart Page","Show on Cart Page"
"Show on Checkout","Show on Checkout"
"Design Settings","Design Settings"
"Progress Bar Color","Progress Bar Color"
"Color of the progress fill","Color of the progress fill"
"Background Color","Background Color"
"Color of the progress track background","Color of the progress track background"
"Text Color","Text Color"
"Color of the message text","Color of the message text"
"Achievement Color","Achievement Color"
"Color when free shipping is achieved","Color when free shipping is achieved"
"Messages","Messages"
"Progress Message","Progress Message"
"Shown while cart is below threshold.","Shown while cart is below threshold."
"Achievement Message","Achievement Message"
"Shown when free shipping is unlocked.","Shown when free shipping is unlocked."
"Empty Cart Message","Empty Cart Message"
"Shown when cart is empty.","Shown when cart is empty."
